Image Name,Average Angle,Speed
00001_angle_30_speed_40.jpg,30,40
00002_angle_30_speed_40.jpg,30,40
00003_angle_30_speed_40.jpg,30,40
00004_angle_30_speed_40.jpg,30,40
00005_angle_30_speed_40.jpg,30,40
00006_angle_30_speed_40.jpg,30,40
00007_angle_0_speed_40.jpg,0,40
00008_angle_30_speed_40.jpg,30,40
00009_angle_30_speed_40.jpg,30,40
00010_angle_30_speed_40.jpg,30,40
00011_angle_60_speed_40.jpg,60,40
00012_angle_90_speed_40.jpg,90,40
00013_angle_120_speed_40.jpg,120,40
00014_angle_120_speed_40.jpg,120,40
00015_angle_120_speed_40.jpg,120,40
00016_angle_120_speed_40.jpg,120,40
00017_angle_150_speed_40.jpg,150,40
00018_angle_150_speed_40.jpg,150,40
00019_angle_150_speed_40.jpg,150,40
00020_angle_150_speed_40.jpg,150,40
00021_angle_90_speed_40_1.jpg,90,40
00022_angle_120_speed_40.jpg,120,40
00023_angle_150_speed_40.jpg,150,40
00024_angle_120_speed_40.jpg,120,40
00025_angle_150_speed_40.jpg,150,40
00026_angle_120_speed_40_1.jpg,120,40
00027_angle_90_speed_40.jpg,90,40
00028_angle_90_speed_40.jpg,90,40
00029_angle_30_speed_40.jpg,30,40
00030_angle_120_speed_40.jpg,120,40
00031_angle_90_speed_40_1.jpg,90,40
00032_angle_90_speed_40_1.jpg,90,40
00033_angle_90_speed_40_1.jpg,90,40
00034_angle_0_speed_40.jpg,0,40
00035_angle_30_speed_40.jpg,30,40
00036_angle_30_speed_40.jpg,30,40
00037_angle_30_speed_40.jpg,30,40
00038_angle_30_speed_40.jpg,30,40
00039_angle_30_speed_40.jpg,30,40
00040_angle_30_speed_40.jpg,30,40
00041_angle_30_speed_40.jpg,30,40
00042_angle_30_speed_40.jpg,30,40
00043_angle_90_speed_40.jpg,90,40
00044_angle_90_speed_40.jpg,90,40
00045_angle_90_speed_40.jpg,90,40
00046_angle_90_speed_40.jpg,90,40
00047_angle_90_speed_40.jpg,90,40
00048_angle_120_speed_40.jpg,120,40
00049_angle_90_speed_40.jpg,90,40
00050_angle_90_speed_40_1.jpg,90,40
00051_angle_60_speed_40.jpg,60,40
00052_angle_60_speed_40.jpg,60,40
00053_angle_60_speed_40.jpg,60,40
00054_angle_30_speed_40.jpg,30,40
00055_angle_30_speed_40.jpg,30,40
00056_angle_30_speed_40.jpg,30,40
00057_angle_150_speed_40.jpg,150,40
00058_angle_150_speed_40.jpg,150,40
00059_angle_150_speed_40.jpg,150,40
00060_angle_150_speed_40.jpg,150,40
00061_angle_60_speed_40.jpg,60,40
00062_angle_60_speed_40.jpg,60,40
00063_angle_90_speed_40_1.jpg,90,40
00064_angle_150_speed_40.jpg,150,40
00065_angle_60_speed_40.jpg,60,40
00066_angle_90_speed_40.jpg,90,40
00067_angle_30_speed_40.jpg,30,40
00068_angle_30_speed_40.jpg,30,40
